Element name,Atomic number,Formal charge,Period,Number of d orbital electrons,Number of s orbital electrons,Miller index X,Miller index Y,Miller index Z,bond length,Number of atoms per unit cell,Crystal density,Relative atomic mass,Work function,Pauling electronegativity,Atomic radius,Center of TDOS,Center of PDOS,Cohesive Energy,Cohesive Energy II,Electron Affinity,SISSO1,SISSO2,SISSO3,CM5 charge
V,39,13,4,3,2,2,1,1,2.58,2,6.38,50.942,3.81,1.63,1.53,0.709825,0.797599,6.74619,14.618,0.525,-0.633179592,4382.522755,-37.52689962,0.24808738
V,39,13,4,3,2,3,1,0,2.58,2,6.38,50.942,3.69,1.63,1.53,0.437076,0.497422,6.74619,14.618,0.525,0.058099199,-4994.729156,-36.71047409,0.23630493
V,39,13,4,3,2,3,2,1,2.58,2,6.38,50.942,3.99,1.63,1.53,0.531637,0.562698,6.74619,14.618,0.525,-0.726811932,-42147.00544,-36.88801265,0.26779817
Y,39,11,5,1,2,1,0,1,3.61,4,4.44,88.906,2.88,1.22,1.9,0.611073,0.956713,6.2173,12.224,0.307,-0.082280805,-667.6643915,13.27152053,0.25781043
Y,39,11,5,1,2,1,0,3,3.61,4,4.44,88.906,2.49,1.22,1.9,0.709294,0.931471,6.2173,12.224,0.307,1.476275472,-184.6681084,13.24350282,0.22570891
Y,39,11,5,1,2,2,0,0,3.61,4,4.44,88.906,2.08,1.22,1.9,1.364321,1.513963,6.2173,12.224,0.307,0.071649311,-175.6789119,13.89004794,0.24734976
Y,39,11,5,1,2,4,-2,4,3.61,4,4.44,88.906,2.42,1.22,1.9,0.512934,0.790237,6.2173,12.224,0.307,1.510651897,-118.317793,13.08673817,0.25271332
Zn,30,12,4,10,2,1,0,1,2.61,2,7.53,65.38,3.91,1.65,1.22,-5.019276,-6.541534,9.394199,17.96439,0,0.184553283,-132.0199941,3.506051313,0.24658937
Zn,30,12,4,10,2,1,0,2,2.61,2,7.53,65.38,4.29,1.65,1.22,-4.76745,-6.690002,9.394199,17.96439,0,0.0732395,-206.4914601,3.410688178,0.25125444
Zn,30,12,4,10,2,1,0,3,2.61,2,7.53,65.38,4.02,1.65,1.22,-4.770195,-6.987733,9.394199,17.96439,0,0.074246828,-142.6827788,3.21945127,0.23691252
Zn,30,12,4,10,2,2,-1,2,2.61,2,7.53,65.38,4.02,1.65,1.22,-5.06516,-6.965797,9.394199,17.96439,0,0.208592825,-143.1094241,3.233541078,0.23402786
Zr,40,12,5,2,2,1,0,1,3.22,2,6.45,91.224,3.7,1.33,1.75,0.478723,0.778653,6.6339,13.1,0.426,0.000673755,-14137.48773,289.3485048,0.278358
Zr,40,12,5,2,2,2,0,1,3.22,2,6.45,91.224,2.97,1.33,1.75,0.588019,0.616288,6.6339,13.1,0.426,0.985673194,-557.0370128,285.6720555,0.26051348
Zr,40,12,5,2,2,4,-2,2,3.22,2,6.45,91.224,2.87,1.33,1.75,1.153016,1.156282,6.6339,13.1,0.426,1.369004658,2182.738173,297.8992015,0.26497707
